treatment,FAVA,amplicon
oil palm,0.3296766337549032,Fungi
0-1 years,0.13613489433556988,Fungi
1-2 years,0.15815732435935473,Fungi
2-3 years,0.13691357815235722,Fungi
3-4 years,0.18840667160240718,Fungi
oil palm,0.014952860757390697,Bacteria
0-1 years,0.009696811931180209,Bacteria
1-2 years,0.008722912246458263,Bacteria
2-3 years,0.009322967854461135,Bacteria
3-4 years,0.015691525611220416,Bacteria
