taxa,term,Estimate,Std. Error,df,t value,Pr(>|t|)
Bacteria,(Intercept),205.46465433722932,17.47145087294664,4.027262846175304,11.760022440687935,2.8789706860805545e-4
Bacteria,value,11.078091370200596,23.288155311163525,705.9974979807243,0.47569638823604665,0.6344378470576469
Bacteria,value:clustering_coeficent,-34.91343720042568,23.08930465166971,706.0180015375036,-1.512104315272262,0.1309547906225814
Bacteria,value:global_effic,11.703778384746862,23.089157941039105,705.9945768522535,0.5068949857172723,0.6123867826346326
Bacteria,value:max_degree,76.86567351541306,26.677496463238285,706.0494868761991,2.881292613845318,0.004080631980015496
Bacteria,value:mean_betweenness,4.137582941182982,22.88356029055517,705.9939688155201,0.18081027989734205,0.8565683853004664
Bacteria,value:mean_closeness,-14.640654530052357,25.31601155742872,705.9989247741834,-0.5783159996131464,0.5632352176688546
Bacteria,value:mean_coreness,56.095301615632444,24.932017486425757,706.046194454495,2.2499303013153087,0.02476053324901286
Bacteria,value:mean_dist,-36.79803223307449,23.111456220537413,706.0163003518395,-1.5921987728481966,0.11178764769790057
Bacteria,value:n_vertices,20.127623500158837,23.181188453532528,706.0000916994803,0.8682740119431467,0.3855393925690275
Fungi,(Intercept),62.25440933793573,5.551178568814026,4.18844161421869,11.214629211835279,2.7924050140364174e-4
Fungi,value,11.79426570667268,1.581719130684969,706.6377019054311,7.456611909072082,2.60659710922627e-13
Fungi,value:clustering_coeficent,-3.5870630078588777,1.845020764923582,706.0262854569078,-1.9441857111063183,0.05226992262365504
Fungi,value:global_effic,-0.781961966908291,1.8709248961081202,706.0097929797498,-0.41795476052241365,0.6761072801788804
Fungi,value:max_degree,0.6720503696886349,2.062177763441666,705.9903203857151,0.3258935197550662,0.7446014898606809
Fungi,value:mean_betweenness,0.30839079962620497,1.9402128851920644,705.9948972393246,0.15894688772550694,0.8737561762840017
Fungi,value:mean_closeness,-23.58496531947887,2.224205455120225,707.2417497832596,-10.603771007388357,1.7599683963467755e-24
Fungi,value:mean_coreness,-0.23863076473479086,2.025641128347438,705.9908696058145,-0.11780505509851641,0.9062556313407635
Fungi,value:mean_dist,-3.4385215951753536,1.9519882197066474,706.0010923776548,-1.7615483333665345,0.07857843234739104
Fungi,value:n_vertices,-0.1543100812858971,2.0216436326102,705.9895053901965,-0.07632902198824384,0.9391789617743036
Both,(Intercept),236.9403685380548,24.346987339706693,4.070781941876792,9.731814668981103,5.725227770063397e-4
Both,value,23.733305529582793,4.129401499902208,706.2917674850797,5.747395967707389,1.348180818481545e-8
Both,value:clustering_coeficent,-85.99588721070815,14.68206086983132,706.4612351308598,-5.857208192578223,7.21375353883286e-9
Both,value:global_effic,0.7194229199750456,5.449437613049346,705.9965632820935,0.13201782845486648,0.8950078042777557
Both,value:max_degree,-1.0819998059864073,4.5823021856176505,705.9964188288925,-0.23612580797976424,0.8134035334398475
Both,value:mean_betweenness,20.910240396454437,6.236391240783369,706.131524125072,3.3529391581000056,8.42238437529012e-4
Both,value:mean_closeness,-63.721585994671145,10.834322779136613,706.2910297607052,-5.8814553796918645,6.275570171758639e-9
Both,value:mean_coreness,-0.1882395006378491,4.669115215455349,705.9977927075563,-0.04031588254981438,0.9678526896164279
Both,value:mean_dist,-68.6696849506639,10.73905238530366,706.3033347800308,-6.394389605980322,2.9303587775853126e-10
Both,value:n_vertices,7.163575409962272,4.94585529668922,706.023140179104,1.448399716578365,0.14794923910802782
